MiniLM-L6,MPNet-Base,SPECTER,year,title
0.43585634,0.5538093,0.78484046,2018,Extraction of templates from phrases using Sequence Binary Decision Diagrams
0.40684596,0.43848675,0.8488914,2023,Emerging trends: Smooth-talking machines
0.36694682,0.50826323,0.7837966,2022,Gender bias in legal corpora and debiasing it
0.31672287,0.4097652,0.8028077,2022,From unified phrase representation to bilingual phrase alignment in an unsupervised manner
0.42686403,0.50124615,0.84298813,2021,Topical Language Generation using Transformers
0.37850076,0.564835,0.806138,2020,Negation detection for sentiment analysis: A case study in Spanish
0.3411443,0.4067204,0.74220777,2019,Robust stylometric analysis and author attribution based on tones and rimes
0.28723678,0.4835682,0.80230856,2019,"Mining, analyzing, and modeling text written on mobile devices"
0.39787516,0.5352729,0.8468988,2019,How to evaluate machine translation: A review of automated and human metrics
0.36654374,0.46548694,0.80580956,2016,End-to-end statistical machine translation with zero or small parallel texts†
0.28227228,0.35836336,0.74281645,2019,Learning semantic sentence representations from visually grounded language without lexical knowledge
0.4289716,0.44160473,0.73396784,2023,Neural Arabic singular-to-plural conversion using a pretrained Character-BERT and a fused transformer
0.28584784,0.3693568,0.7666962,2022,In-depth analysis of the impact of OCR errors on named entity recognition and linking
0.3201379,0.49430263,0.74339736,2021,Annotating argumentative structure in English-as-a-Foreign-Language learner essays
0.44688928,0.5741259,0.86769205,2020,Recent advances in processing negation
0.4485833,0.49825177,0.7903256,2022,Recognition of visual scene elements from a story text in Persian natural language
0.34246135,0.4671214,0.87126446,2022,RoLEX: The development of an extended Romanian lexical dataset and its evaluation at predicting concurrent lexical information
0.4518867,0.49959773,0.80961096,2023,Towards diverse and contextually anchored paraphrase modeling: A dataset and baselines for Finnish
0.33926827,0.55831563,0.8367462,2023,An unsupervised perplexity-based method for boilerplate removal
0.3079097,0.39058268,0.7235664,2019,Combining n-grams and deep convolutional features for language variety classification
0.33197314,0.48744926,0.79779965,2022,Killing me softly: Creative and cognitive aspects of implicitness in abusive language online
0.4210189,0.5079226,0.78105724,2023,Linguistically aware evaluation of coreference resolution from the perspective of higher-level applications
0.2943026,0.49157837,0.7871763,2020,Learning from noisy out-of-domain corpus using dataless classification
0.56022394,0.50380576,0.9135345,2022,A survey of methods for revealing and overcoming weaknesses of data-driven Natural Language Understanding
0.31562033,0.29192394,0.7539319,2022,The voice synthesis business: 2022 update
0.32257193,0.49402398,0.74786,2022,Emojis as anchors to detect Arabic offensive language and hate speech
0.30336985,0.5230261,0.7725738,2019,Uncovering the language of wine experts
0.40299064,0.48788357,0.8304863,2019,Detecting light verb constructions across languages
